flight_date,flight_status,airline_name,airline_iata,departure_airport,departure_iata,departure_time,arrival_airport,arrival_iata,arrival_time,logo_url,aircraft_type
8/23/2025,scheduled,LATAM Airlines,LA,Hong Kong International,HKG,2025-08-23T00:20:00+00:00,Melbourne - Tullamarine Airport,MEL,2025-08-23T11:15:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 737
8/23/2025,scheduled,Lufthansa,LH,Hong Kong International,HKG,2025-08-23T00:20:00+00:00,Melbourne - Tullamarine Airport,MEL,2025-08-23T11:15:00+00:00,https://1000logos.net/wp-content/uploads/2017/03/Logo-Lufthansa-500x91.png,Embraer E190
8/23/2025,scheduled,SWISS,LX,Hong Kong International,HKG,2025-08-23T00:20:00+00:00,Melbourne - Tullamarine Airport,MEL,2025-08-23T11:15:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Embraer E190
8/23/2025,scheduled,Miat - Mongolian Airlines,OM,Hong Kong International,HKG,2025-08-23T00:20:00+00:00,Melbourne - Tullamarine Airport,MEL,2025-08-23T11:15:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,British Airways,BA,Hong Kong International,HKG,2025-08-23T00:20:00+00:00,Melbourne - Tullamarine Airport,MEL,2025-08-23T11:15:00+00:00,https://1000logos.net/wp-content/uploads/2016/10/British-Airways-Logo-500x281.png,ATR 72
8/23/2025,scheduled,Finnair,AY,Hong Kong International,HKG,2025-08-23T00:20:00+00:00,Melbourne - Tullamarine Airport,MEL,2025-08-23T11:15:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/Finnair-Logo-500x313.png,Boeing 787 Dreamliner
8/23/2025,scheduled,Cathay Pacific,CX,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Ted Stevens Anchorage International Airport,ANC,2025-08-22T18:05:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Cathay-Pacific-Logo-500x281.png,Boeing 747
8/23/2025,scheduled,Cathay Pacific,CX,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Los Angeles International,LAX,2025-08-22T22:35:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Cathay-Pacific-Logo-500x281.png,Boeing 747
8/23/2025,scheduled,Miat - Mongolian Airlines,OM,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Los Angeles International,LAX,2025-08-22T22:35:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 747
8/23/2025,scheduled,Malaysia Airlines,MH,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Los Angeles International,LAX,2025-08-22T22:35:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Malaysia-Airlines-Logo-500x281.png,Airbus A380
8/23/2025,scheduled,LATAM Airlines,LA,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Los Angeles International,LAX,2025-08-22T22:35:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/23/2025,scheduled,American Airlines,AA,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Los Angeles International,LAX,2025-08-22T22:35:00+00:00,https://1000logos.net/wp-content/uploads/2016/10/American-Airlines-Logo-500x313.png,Boeing 777
8/23/2025,scheduled,Cathay Pacific,CX,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Zurich,ZRH,2025-08-23T07:10:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Cathay-Pacific-Logo-500x281.png,Boeing 777
8/23/2025,scheduled,SWISS,LX,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Zurich,ZRH,2025-08-23T07:10:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Embraer E190
8/23/2025,scheduled,Cathay Pacific,CX,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Charles De Gaulle,CDG,2025-08-23T07:50:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Cathay-Pacific-Logo-500x281.png,Airbus A320
8/23/2025,scheduled,Greater Bay Airlines,HB,Hong Kong International,HKG,2025-08-23T00:05:00+00:00,Ninoy Aquino International,MNL,2025-08-23T02:20:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A380
8/23/2025,scheduled,SF Airlines,O3,Kunming,KMG,2025-08-23T00:15:00+00:00,Hangzhou,HGH,2025-08-23T02:35:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Embraer E190
8/23/2025,scheduled,Korean Air,KE,Seoul (Incheon),ICN,2025-08-23T00:05:00+00:00,Xianyang,XIY,2025-08-23T02:20:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/Korean-Air-Logo-500x281.png,ATR 72
8/23/2025,scheduled,Korean Air,KE,Seoul (Incheon),ICN,2025-08-23T00:05:00+00:00,Guangzhou Baiyun International,CAN,2025-08-23T02:45:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/Korean-Air-Logo-500x281.png,Boeing 747
8/23/2025,scheduled,Korean Air,KE,Seoul (Incheon),ICN,2025-08-23T00:05:00+00:00,Ted Stevens Anchorage International Airport,ANC,2025-08-22T15:00:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/Korean-Air-Logo-500x281.png,Embraer E190
8/23/2025,scheduled,Miat - Mongolian Airlines,OM,Seoul (Incheon),ICN,2025-08-23T00:05:00+00:00,New Ulaanbaator International Airport,UBN,2025-08-23T02:45:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Embraer E190
8/23/2025,scheduled,Korean Air,KE,Seoul (Incheon),ICN,2025-08-23T00:05:00+00:00,New Ulaanbaator International Airport,UBN,2025-08-23T02:45:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/Korean-Air-Logo-500x281.png,Boeing 737
8/23/2025,scheduled,SF Airlines,O3,Shuangliu,CTU,2025-08-23T00:05:00+00:00,Shenzhen,SZX,2025-08-23T02:10:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A380
8/23/2025,scheduled,China Postal Airlines,CF,Shuangliu,CTU,2025-08-23T00:05:00+00:00,Nanjing Lukou International Airport,NKG,2025-08-23T02:45:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 777
8/23/2025,scheduled,AirAsia,AK,Ninoy Aquino International,MNL,2025-08-23T00:05:00+00:00,Mactan-Cebu International,CEB,2025-08-23T01:25:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/AirAsia-Logo-500x314.png,Boeing 747
8/23/2025,scheduled,Philippine Airlines,PR,Ninoy Aquino International,MNL,2025-08-23T00:05:00+00:00,Brisbane International,BNE,2025-08-23T09:55:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Philippine-Airlines-Logo-500x313.png,ATR 72
8/23/2025,scheduled,Spring Airlines,9C,Haneda Airport,HND,2025-08-23T01:05:00+00:00,Shanghai Pudong International,PVG,2025-08-23T03:10:00+00:00,https://1000logos.net/wp-content/uploads/2023/05/Spring-Airlines-Logo-500x281.png,Boeing 777
8/23/2025,scheduled,Hong Kong Express,UO,Haneda Airport,HND,2025-08-23T01:00:00+00:00,Hong Kong International,HKG,2025-08-23T04:40:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/23/2025,scheduled,ANA,NH,Haneda Airport,HND,2025-08-23T00:40:00+00:00,Singapore Changi,SIN,2025-08-23T06:40:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/23/2025,scheduled,ANA,NH,Haneda Airport,HND,2025-08-23T00:30:00+00:00,Los Angeles International,LAX,2025-08-22T19:10:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,Thai Airways International,TG,Haneda Airport,HND,2025-08-23T00:20:00+00:00,Suvarnabhumi International,BKK,2025-08-23T04:50:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Thai-Airways-Logo-500x313.png,Boeing 737
8/23/2025,scheduled,Japan Airlines,JL,Haneda Airport,HND,2025-08-23T00:20:00+00:00,Heathrow,LHR,2025-08-23T06:25:00+00:00,https://1000logos.net/wp-content/uploads/2021/04/Japan-Airlines-logo-500x281.png,Embraer E190
8/23/2025,scheduled,JDL Airlines,JG,Ninoy Aquino International,MNL,2025-08-23T00:45:00+00:00,Zhengzhou,CGO,2025-08-23T04:45:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A380
8/23/2025,scheduled,Jetstar Japan,GK,Ninoy Aquino International,MNL,2025-08-23T00:40:00+00:00,Narita International Airport,NRT,2025-08-23T06:10:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 747
8/23/2025,scheduled,YTO Cargo Airlines,YG,Ninoy Aquino International,MNL,2025-08-23T00:30:00+00:00,Wenzhou,WNZ,2025-08-23T03:30:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,Philippine Airlines,PR,Ninoy Aquino International,MNL,2025-08-23T00:30:00+00:00,Seoul (Incheon),ICN,2025-08-23T05:20:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Philippine-Airlines-Logo-500x313.png,Embraer E190
8/23/2025,scheduled,Cebu Pacific Air,5J,Ninoy Aquino International,MNL,2025-08-23T00:30:00+00:00,Puerto Princesa,PPS,2025-08-23T02:05:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,Cebu Pacific Air,5J,Ninoy Aquino International,MNL,2025-08-23T00:15:00+00:00,Mactan-Cebu International,CEB,2025-08-23T01:50:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 787 Dreamliner
8/23/2025,scheduled,Philippine Airlines,PR,Ninoy Aquino International,MNL,2025-08-23T00:10:00+00:00,Perth International,PER,2025-08-23T07:25:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Philippine-Airlines-Logo-500x313.png,Boeing 737
8/23/2025,scheduled,Japan Airlines,JL,Chu-Bu Centrair International (Central Japan International),NGO,2025-08-23T00:35:00+00:00,Shanghai Pudong International,PVG,2025-08-23T02:35:00+00:00,https://1000logos.net/wp-content/uploads/2021/04/Japan-Airlines-logo-500x281.png,ATR 72
8/23/2025,cancelled,China Postal Airlines,CF,Haikou,HAK,2025-08-23T00:05:00+00:00,Nanjing Lukou International Airport,NKG,2025-08-23T02:45:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Embraer E190
8/23/2025,scheduled,Scoot,TR,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2025-08-23T01:05:00+00:00,Singapore Changi,SIN,2025-08-23T05:25:00+00:00,https://1000logos.net/wp-content/uploads/2021/07/Scoot-Logo-500x314.png,Airbus A380
8/23/2025,scheduled,Singapore Airlines,SQ,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2025-08-23T01:05:00+00:00,Singapore Changi,SIN,2025-08-23T05:25:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Singapore-Airlines-Logo-500x313.png,ATR 72
8/23/2025,scheduled,Emirates,EK,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2025-08-23T00:30:00+00:00,Dubai,DXB,2025-08-23T05:15:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/Emirates-Logo-500x313.png,Boeing 787 Dreamliner
8/23/2025,scheduled,China Airlines,CI,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2025-08-23T00:30:00+00:00,Nanjing Lukou International Airport,NKG,2025-08-23T02:30:00+00:00,https://1000logos.net/wp-content/uploads/2020/09/China-Airlines-logo-500x276.png,Boeing 737
8/23/2025,scheduled,AirAsia X,D7,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2025-08-23T00:15:00+00:00,Kuala Lumpur International Airport (klia),KUL,2025-08-23T05:00:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/AirAsia-X-Logo-500x281.png,Airbus A380
8/23/2025,scheduled,Tigerair Taiwan,IT,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2025-08-23T00:10:00+00:00,Haneda Airport,HND,2025-08-23T04:25:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/23/2025,scheduled,Starlux,JX,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2025-08-23T00:10:00+00:00,Los Angeles International,LAX,2025-08-22T21:45:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Embraer E190
8/23/2025,scheduled,China Postal Airlines,CF,Xiamen,XMN,2025-08-23T00:30:00+00:00,Nanjing Lukou International Airport,NKG,2025-08-23T02:20:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 737
8/23/2025,scheduled,Xiamen Airlines,MF,Xiamen,XMN,2025-08-23T00:10:00+00:00,Charles De Gaulle,CDG,2025-08-23T06:55:00+00:00,https://1000logos.net/wp-content/uploads/2023/05/Xiamen-Airlines-Logo-500x281.png,ATR 72
8/23/2025,scheduled,Juneyao Airlines,HO,Penang International,PEN,2025-08-23T00:05:00+00:00,Shanghai Pudong International,PVG,2025-08-23T05:25:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 737
8/23/2025,scheduled,Singapore Airlines,SQ,Singapore Changi,SIN,2025-08-23T00:05:00+00:00,Kastrup,CPH,2025-08-23T07:10:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Singapore-Airlines-Logo-500x313.png,Boeing 747
8/23/2025,scheduled,Singapore Airlines,SQ,Singapore Changi,SIN,2025-08-23T00:05:00+00:00,Franz Josef Strauss,MUC,2025-08-23T06:45:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Singapore-Airlines-Logo-500x313.png,ATR 72
8/23/2025,scheduled,Singapore Airlines,SQ,Singapore Changi,SIN,2025-08-23T00:05:00+00:00,Perth International,PER,2025-08-23T05:10:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Singapore-Airlines-Logo-500x313.png,Embraer E190
8/23/2025,scheduled,SF Airlines,O3,Xianyang,XIY,2025-08-23T01:00:00+00:00,Narita International Airport,NRT,2025-08-23T06:00:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Embraer E190
8/23/2025,scheduled,SF Airlines,O3,Xianyang,XIY,2025-08-23T01:00:00+00:00,Hangzhou,HGH,2025-08-23T03:05:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 747
8/23/2025,scheduled,North-Western Cargo International Airlines,CO,Xianyang,XIY,2025-08-23T00:15:00+00:00,Guangzhou Baiyun International,CAN,2025-08-23T03:00:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/23/2025,scheduled,China Postal Airlines,CF,Xianyang,XIY,2025-08-23T00:05:00+00:00,Nanjing Lukou International Airport,NKG,2025-08-23T01:55:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A380
8/23/2025,scheduled,China Southern Airlines,CZ,Guangzhou Baiyun International,CAN,2025-08-23T00:05:00+00:00,Frankfurt International Airport,FRA,2025-08-23T06:10:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,VietJet Air,VJ,Beijing Daxing International Airport,PKX,2025-08-23T01:05:00+00:00,Tan Son Nhat International,SGN,2025-08-23T05:00:00+00:00,https://1000logos.net/wp-content/uploads/2021/04/VietJet-Air-logo-500x281.png,Boeing 737
8/23/2025,scheduled,,H1,Beijing Daxing International Airport,PKX,2025-08-23T01:05:00+00:00,Tan Son Nhat International,SGN,2025-08-23T05:00:00+00:00,,Boeing 787 Dreamliner
8/23/2025,scheduled,China Southern Airlines,CZ,Beijing Daxing International Airport,PKX,2025-08-23T00:30:00+00:00,Istanbul Airport,IST,2025-08-23T06:00:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 737
8/23/2025,scheduled,Sichuan Airlines,3U,Beijing Daxing International Airport,PKX,2025-08-23T00:30:00+00:00,Istanbul Airport,IST,2025-08-23T06:00:00+00:00,https://1000logos.net/wp-content/uploads/2023/05/Sichuan-Airlines-Logo-500x281.png,Boeing 737
8/23/2025,scheduled,AirAsia,AK,Beijing Daxing International Airport,PKX,2025-08-23T00:15:00+00:00,Kota-Kinabalu International Airport,BKI,2025-08-23T05:45:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/AirAsia-Logo-500x314.png,ATR 72
8/23/2025,scheduled,SF Airlines,O3,Shenyang,SHE,2025-08-23T00:05:00+00:00,Hangzhou,HGH,2025-08-23T02:20:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 737
8/23/2025,scheduled,Ethiopian Airlines,ET,Seoul (Incheon),ICN,2025-08-23T00:35:00+00:00,Bole International,ADD,2025-08-23T06:25:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Ethiopian-Airlines-Logo-500x313.png,ATR 72
8/23/2025,scheduled,Asiana Airlines,OZ,Seoul (Incheon),ICN,2025-08-23T00:35:00+00:00,Bole International,ADD,2025-08-23T06:25:00+00:00,https://1000logos.net/wp-content/uploads/2021/04/Asiana-Airlines-logo-500x281.png,Boeing 747
8/23/2025,scheduled,ANA,NH,Seoul (Incheon),ICN,2025-08-23T00:35:00+00:00,Bole International,ADD,2025-08-23T06:25:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/23/2025,scheduled,Tigerair Taiwan,IT,Seoul (Incheon),ICN,2025-08-23T00:30:00+00:00,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2025-08-23T02:15:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/23/2025,scheduled,Air Incheon,KJ,Seoul (Incheon),ICN,2025-08-23T00:20:00+00:00,Noibai International,HAN,2025-08-23T03:35:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,Air Incheon,KJ,Seoul (Incheon),ICN,2025-08-23T00:10:00+00:00,Shuangliu,CTU,2025-08-23T03:25:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,China Postal Airlines,CF,Yiwu,YIW,2025-08-23T00:05:00+00:00,Ninoy Aquino International,MNL,2025-08-23T02:55:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/23/2025,cancelled,China Postal Airlines,CF,Yiwu,YIW,2025-08-23T00:05:00+00:00,Diosdado Macapagal International (Clark International),CRK,2025-08-23T02:55:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/22/2025,scheduled,Chengdu Airlines,EU,Weihai,WEH,,Changsha,CSX,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Embraer E190
8/22/2025,scheduled,Sichuan Airlines,3U,Weihai,WEH,2025-08-22T21:15:00+00:00,Changsha,CSX,2025-08-22T23:50:00+00:00,https://1000logos.net/wp-content/uploads/2023/05/Sichuan-Airlines-Logo-500x281.png,ATR 72
8/22/2025,scheduled,Tibet Airlines,TV,Weihai,WEH,2025-08-22T21:15:00+00:00,Changsha,CSX,2025-08-22T23:50:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/22/2025,scheduled,Qingdao Airlines,QW,Weihai,WEH,2025-08-22T21:00:00+00:00,Chengdu Tianfu International Airport,TFU,2025-08-23T00:10:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 747
8/22/2025,scheduled,China Southern Airlines,CZ,Weihai,WEH,2025-08-22T21:00:00+00:00,Chengdu Tianfu International Airport,TFU,2025-08-23T00:10:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 777
8/22/2025,scheduled,Air China LTD,CA,Weihai,WEH,2025-08-22T20:45:00+00:00,Beijing Daxing International Airport,PKX,2025-08-22T22:10:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Embraer E190
8/22/2025,scheduled,Shenzhen Airlines,ZH,Weihai,WEH,2025-08-22T20:45:00+00:00,Beijing Daxing International Airport,PKX,2025-08-22T22:10:00+00:00,https://1000logos.net/wp-content/uploads/2023/05/Shenzhen-Airlines-Logo-500x281.png,Boeing 737
8/22/2025,scheduled,Ruili Airlines,DR,Weihai,WEH,2025-08-22T19:40:00+00:00,Shenyang,SHE,2025-08-22T21:00:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/22/2025,scheduled,Qingdao Airlines,QW,Weihai,WEH,2025-08-22T19:20:00+00:00,Harbin,HRB,2025-08-22T21:15:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A380
8/22/2025,scheduled,China Southern Airlines,CZ,Weihai,WEH,2025-08-22T19:20:00+00:00,Harbin,HRB,2025-08-22T21:15:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 737
8/22/2025,active,Chengdu Airlines,EU,Weihai,WEH,2025-08-22T18:30:00+00:00,Shuangliu,CTU,2025-08-22T21:40:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 737
8/22/2025,scheduled,NetJets Aviation,1I,Albany International,ALB,2025-08-22T07:30:00+00:00,Midway,MDW,2025-08-22T08:30:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A380
8/22/2025,landed,Kuwait Airways,KU,Palese,BRI,2025-08-22T06:30:00+00:00,Leonardo Da Vinci (Fiumicino),FCO,2025-08-22T07:40:00+00:00,https://1000logos.net/wp-content/uploads/2021/04/Kuwait-Airways-logo-500x281.png,ATR 72
8/22/2025,landed,Air Malta,KM,Palese,BRI,2025-08-22T06:30:00+00:00,Leonardo Da Vinci (Fiumicino),FCO,2025-08-22T07:40:00+00:00,https://1000logos.net/wp-content/uploads/2023/05/Air-Malta-Logo-500x281.png,Boeing 777
8/22/2025,landed,KLM,KL,Palese,BRI,2025-08-22T06:30:00+00:00,Leonardo Da Vinci (Fiumicino),FCO,2025-08-22T07:40:00+00:00,https://1000logos.net/wp-content/uploads/2021/04/KLM-logo-500x294.png,Embraer E190
8/22/2025,scheduled,American Airlines,AA,Albany International,ALB,2025-08-22T07:17:00+00:00,Charlotte Douglas,CLT,2025-08-22T09:30:00+00:00,https://1000logos.net/wp-content/uploads/2016/10/American-Airlines-Logo-500x313.png,ATR 72
8/22/2025,landed,Hainan Airlines,HU,Palese,BRI,2025-08-22T06:30:00+00:00,Leonardo Da Vinci (Fiumicino),FCO,2025-08-22T07:40:00+00:00,https://1000logos.net/wp-content/uploads/2021/04/Hainan-Airlines-logo-500x300.png,ATR 72
8/22/2025,landed,Etihad Airways,EY,Palese,BRI,2025-08-22T06:30:00+00:00,Leonardo Da Vinci (Fiumicino),FCO,2025-08-22T07:40:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Etihad-Airways-Logo-500x313.png,Airbus A320
